feature_name,feature_importance,rank,fold_number
ela_level.mmce_qda_10,0.021786148139335156,10,17
ela_level.lda_qda_50,0.02032599478026069,11,17
ela_level.lda_mda_25,0.018225980093884136,12,17
ela_level.lda_qda_25,0.017089438907593815,13,17
ela_meta.lin_simple.coef.max_by_min,0.016563003753289778,14,17
pca.expl_var_PC1.cor_x,0.016120593656917336,15,17
ela_meta.quad_simple.cond,0.013497443290045428,16,17
ela_level.lda_mda_50,0.013385285570556403,17,17
ela_level.mmce_lda_50,0.012534655292231337,18,17
ela_level.mmce_mda_10,0.011813805594168498,19,17
ela_meta.lin_simple.adj_r2,0.011693982170321901,20,17
ela_meta.quad_w_interact.adj_r2,0.009746004907424844,21,17
nbc.nb_fitness.cor,0.009674128856090468,22,17
ela_level.qda_mda_25,0.00931321717768435,23,17
ela_level.mmce_lda_25,0.007957005721350123,24,17
ela_level.mmce_mda_50,0.0077762802109439064,25,17
ela_level.qda_mda_50,0.005507100866962314,26,17
pca.expl_var.cor_init,0.0034893758197116573,27,17
ic.eps.ratio,0.45546988514524617,1,18
ic.eps.max,0.22629887777812077,2,18
pca.expl_var_PC1.cov_init,0.2183149068318237,3,18
disp.ratio_mean_10,0.12512267011490155,4,18
ela_level.lda_qda_25,0.059280039367281004,5,18
ela_distr.skewness,0.04280760103725016,6,18
ela_level.lda_qda_10,0.04197268064399476,7,18
ela_meta.lin_simple.coef.max_by_min,0.022191099706008806,8,18
nbc.nn_nb.cor,0.0207447673153837,9,18
ela_meta.quad_w_interact.adj_r2,0.020334683120051166,10,18
ela_distr.number_of_peaks,0.019616543539813912,11,18
ela_level.lda_qda_50,0.017169511048008738,12,18
ela_meta.quad_simple.cond,0.016381204870581898,13,18
ela_meta.lin_simple.adj_r2,0.015850139174673872,14,18
ela_level.lda_mda_50,0.01564173500032579,15,18
ela_level.mmce_qda_10,0.01562740104963391,16,18
ela_level.lda_mda_25,0.011897022166609712,17,18
ela_level.lda_mda_10,0.009891029708779395,18,18
nbc.nb_fitness.cor,0.009834542169205448,19,18
ela_level.mmce_lda_50,0.009540166398121507,20,18
pca.expl_var.cor_init,0.00853005168386046,21,18
ela_level.mmce_lda_10,0.008517260642357503,22,18
pca.expl_var_PC1.cor_x,0.00804762222211724,23,18
ela_level.mmce_lda_25,0.007464299745012337,24,18
ela_level.mmce_mda_50,0.007162535129915295,25,18
ela_level.qda_mda_50,0.006936749014727047,26,18
ela_level.qda_mda_25,0.004916111362551784,27,18
ic.eps.s,0.42870712062060806,1,19
ela_meta.lin_simple.intercept,0.3664811429678084,2,19
pca.expl_var_PC1.cov_init,0.11605182825372841,3,19
disp.ratio_mean_10,0.10931942058116177,4,19
ela_level.lda_qda_25,0.06059697568932024,5,19
ela_distr.skewness,0.04358430768589256,6,19
ela_level.lda_qda_10,0.03241301409444441,7,19
ela_level.lda_qda_50,0.03210222711430542,8,19
pca.expl_var_PC1.cor_x,0.02593634290646629,9,19
nbc.nn_nb.cor,0.025847603444578187,10,19
ela_level.mmce_mda_50,0.024182213621781832,11,19
ela_level.mmce_qda_10,0.021613325829256323,12,19
ela_meta.lin_simple.coef.max_by_min,0.01801209981871738,13,19
ela_level.lda_mda_10,0.016838909180221108,14,19
ela_distr.number_of_peaks,0.012841707499551549,15,19
ela_level.lda_mda_25,0.012254794929575302,16,19
ela_level.qda_mda_50,0.011334255689338341,17,19
ela_level.lda_mda_50,0.01107328569201484,18,19
nbc.nb_fitness.cor,0.01050399283980206,19,19
ela_level.mmce_mda_10,0.0101152272841134,20,19
ela_meta.quad_simple.cond,0.008497557296533474,21,19
ela_level.mmce_lda_50,0.007470836299243686,22,19
ela_meta.quad_w_interact.adj_r2,0.007096925800100706,23,19
ela_level.mmce_lda_25,0.0067698306638673674,24,19
ela_level.qda_mda_25,0.005044525999674209,25,19
pca.expl_var.cor_init,0.004779524696892738,26,19
pca.expl_var_PC1.cor_init,0.004704652376491928,27,19
ela_meta.lin_simple.intercept,0.4318617412390776,1,20
